Filename,Start Time (s),End Time (s),Species eBird Code
KEN_001_20211207_153852.flac,67.8,67.8,slcbou1
KEN_001_20211207_153852.flac,106.8,106.8,slcbou1
KEN_001_20211207_153852.flac,107.5,107.5,hamerk1
KEN_001_20211207_153852.flac,118.4,118.4,slcbou1
KEN_001_20211207_153852.flac,209.1,209.1,hamerk1
KEN_001_20211207_153852.flac,211.5,211.5,hamerk1
KEN_001_20211207_153852.flac,213.6,213.6,hamerk1
KEN_001_20211207_153852.flac,248.3,248.3,hamerk1
KEN_001_20211207_153852.flac,287.3,287.3,hamerk1
KEN_001_20211207_153852.flac,288.4,288.4,hamerk1
KEN_001_20211207_153852.flac,288.8,288.8,hamerk1
KEN_001_20211207_153852.flac,290.6,290.6,hamerk1
KEN_001_20211207_153852.flac,298.1,298.1,slcbou1
KEN_001_20211207_153852.flac,301.2,301.2,slcbou1
KEN_001_20211207_153852.flac,304.9,304.9,slcbou1
KEN_001_20211207_153852.flac,313.8,313.8,trobou1
KEN_001_20211207_153852.flac,318.7,318.7,trobou1
KEN_001_20211207_153852.flac,340.0,340.0,hamerk1
KEN_001_20211207_153852.flac,341.4,341.4,hamerk1
KEN_001_20211207_153852.flac,342.4,342.4,reccuc1
KEN_001_20211207_153852.flac,350.6,350.6,hamerk1
KEN_001_20211207_153852.flac,369.1,369.1,gnbcam2
KEN_001_20211207_153852.flac,374.6,374.6,gnbcam2
KEN_001_20211207_153852.flac,378.7,378.7,gnbcam2
KEN_001_20211207_153852.flac,383.3,383.3,gnbcam2
KEN_001_20211207_153852.flac,387.3,387.3,gnbcam2
KEN_001_20211207_153852.flac,402.6,402.6,gnbcam2
KEN_001_20211207_153852.flac,405.5,405.5,gnbcam2
KEN_001_20211207_153852.flac,425.9,425.9,hamerk1
KEN_001_20211207_153852.flac,442.5,442.5,slcbou1
KEN_001_20211207_153852.flac,445.1,445.1,slcbou1
KEN_001_20211207_153852.flac,458.0,458.0,slcbou1
KEN_001_20211207_153852.flac,471.7,471.7,slcbou1
KEN_001_20211207_153852.flac,516.2,516.2,hamerk1
KEN_001_20211207_153852.flac,668.6,668.6,abethr1
KEN_001_20211207_153852.flac,672.2,672.2,slcbou1
KEN_001_20211207_153852.flac,681.4,681.4,spewea1
KEN_001_20211207_153852.flac,685.2,685.2,abethr1
KEN_001_20211207_153852.flac,690.0,690.0,abethr1
KEN_001_20211207_153852.flac,696.0,696.0,abethr1
KEN_001_20211207_153852.flac,696.9,696.9,subbus1
KEN_001_20211207_153852.flac,700.8,700.8,abethr1
KEN_001_20211207_153852.flac,706.4,706.4,abethr1
KEN_001_20211207_153852.flac,726.9,726.9,abethr1
KEN_001_20211207_153852.flac,755.9,755.9,abethr1
KEN_001_20211207_153852.flac,762.3,762.3,abethr1
KEN_001_20211207_153852.flac,768.0,768.0,abethr1
KEN_001_20211207_153852.flac,775.7,775.7,abethr1
KEN_001_20211207_153852.flac,783.2,783.2,abethr1
KEN_001_20211207_153852.flac,788.4,788.4,abethr1
KEN_001_20211207_153852.flac,798.5,798.5,abethr1
KEN_001_20211207_153852.flac,799.5,799.5,spmthr1
KEN_001_20211207_153852.flac,803.2,803.2,abethr1
KEN_001_20211207_153852.flac,808.3,808.3,abethr1
KEN_001_20211207_153852.flac,812.6,812.6,abethr1
KEN_001_20211207_153852.flac,818.1,818.1,abethr1
KEN_001_20211207_153852.flac,821.1,821.1,spewea1
KEN_001_20211207_153852.flac,822.5,822.5,abethr1
KEN_001_20211207_153852.flac,833.0,833.0,spewea1
KEN_001_20211207_153852.flac,834.1,834.1,subbus1
KEN_001_20211207_153852.flac,835.2,835.2,abethr1
KEN_001_20211207_153852.flac,838.5,838.5,abethr1
KEN_001_20211207_153852.flac,839.3,839.3,spewea1
KEN_001_20211207_153852.flac,843.0,843.0,abethr1
KEN_001_20211207_153852.flac,845.4,845.4,subbus1
KEN_001_20211207_153852.flac,848.7,848.7,abethr1
KEN_001_20211207_153852.flac,853.1,853.1,abethr1
KEN_001_20211207_153852.flac,856.6,856.6,abethr1
KEN_001_20211207_153852.flac,858.1,858.1,subbus1
KEN_001_20211207_153852.flac,864.3,864.3,abethr1
KEN_001_20211207_153852.flac,868.7,868.7,abethr1
KEN_001_20211207_153852.flac,872.2,872.2,abethr1
KEN_001_20211207_153852.flac,873.2,873.2,subbus1
KEN_001_20211207_153852.flac,876.7,876.7,abethr1
KEN_001_20211207_153852.flac,878.6,878.6,abethr1
KEN_001_20211207_153852.flac,879.5,879.5,subbus1
KEN_001_20211207_153852.flac,881.2,881.2,abethr1
KEN_001_20211207_153852.flac,883.3,883.3,subbus1
KEN_001_20211207_153852.flac,884.5,884.5,abethr1
KEN_001_20211207_153852.flac,893.7,893.7,abethr1
KEN_001_20211207_153852.flac,898.2,898.2,abethr1
KEN_001_20211207_153852.flac,902.3,902.3,abethr1
KEN_001_20211207_153852.flac,905.9,905.9,abethr1
KEN_001_20211207_153852.flac,910.0,910.0,abethr1
KEN_001_20211207_153852.flac,911.9,911.9,subbus1
KEN_001_20211207_153852.flac,913.6,913.6,abethr1
KEN_001_20211207_153852.flac,917.9,917.9,abethr1
KEN_001_20211207_153852.flac,918.5,918.5,subbus1
KEN_001_20211207_153852.flac,922.5,922.5,abethr1
KEN_001_20211207_153852.flac,926.1,926.1,abethr1
KEN_001_20211207_153852.flac,933.3,933.3,afecuc1
KEN_001_20211207_153852.flac,935.2,935.2,abethr1
KEN_001_20211207_153852.flac,944.8,944.8,litswi1
KEN_001_20211207_153852.flac,952.6,952.6,subbus1
KEN_001_20211207_153852.flac,959.4,959.4,trobou1
KEN_001_20211207_153852.flac,963.7,963.7,trobou1
KEN_001_20211207_153852.flac,970.7,970.7,trobou1
KEN_001_20211207_153852.flac,971.6,971.6,gnbcam2
KEN_001_20211207_153852.flac,976.7,976.7,trobou1
KEN_001_20211207_153852.flac,981.2,981.2,trobou1
KEN_001_20211207_153852.flac,982.6,982.6,trobou1
KEN_001_20211207_153852.flac,985.4,985.4,trobou1
KEN_001_20211207_153852.flac,988.2,988.2,trobou1
KEN_001_20211207_153852.flac,992.6,992.6,trobou1
KEN_001_20211207_153852.flac,995.5,995.5,trobou1
KEN_001_20211207_153852.flac,997.0,997.0,trobou1
KEN_001_20211207_153852.flac,1001.3,1001.3,trobou1
KEN_001_20211207_153852.flac,1004.2,1004.2,trobou1
KEN_001_20211207_153852.flac,1007.0,1007.0,trobou1
KEN_001_20211207_153852.flac,1008.5,1008.5,trobou1
KEN_001_20211207_153852.flac,1009.9,1009.9,trobou1
KEN_001_20211207_153852.flac,1014.0,1014.0,trobou1
KEN_001_20211207_153852.flac,1018.4,1018.4,trobou1
KEN_001_20211207_153852.flac,1023.0,1023.0,trobou1
KEN_001_20211207_153852.flac,1025.8,1025.8,trobou1
KEN_001_20211207_153852.flac,1028.8,1028.8,trobou1
KEN_001_20211207_153852.flac,1031.7,1031.7,trobou1
KEN_001_20211207_153852.flac,1034.9,1034.9,trobou1
KEN_001_20211207_153852.flac,1037.5,1037.5,trobou1
KEN_001_20211207_153852.flac,1040.5,1040.5,trobou1
KEN_001_20211207_153852.flac,1043.4,1043.4,trobou1
KEN_001_20211207_153852.flac,1044.9,1044.9,trobou1
KEN_001_20211207_153852.flac,1049.0,1049.0,trobou1
KEN_001_20211207_153852.flac,1052.2,1052.2,trobou1
KEN_001_20211207_153852.flac,1055.1,1055.1,trobou1
KEN_001_20211207_153852.flac,1058.0,1058.0,trobou1
KEN_001_20211207_153852.flac,1077.3,1077.3,refcro1
KEN_001_20211207_153852.flac,1118.0,1118.0,spewea1
KEN_001_20211207_153852.flac,1227.1,1227.1,wbrcha2
KEN_001_20211207_153852.flac,1270.3,1270.3,slcbou1
KEN_001_20211207_153852.flac,1322.6,1322.6,slcbou1
KEN_001_20211207_153852.flac,1506.3,1506.3,yelbis1
