Species eBird Code,Scientific Name,Common Name
abethr1,Turdus tephronotus,African Bare-eyed Thrush
abhori1,Oriolus larvatus,African Black-headed Oriole
abythr1,Turdus abyssinicus,Abyssinian Thrush
afecuc1,Chrysococcyx cupreus,African Emerald Cuckoo
afgfly1,Bradornis microrhynchus,African Gray Flycatcher
afghor1,Lophoceros nasutus,African Gray Hornbill
afpfly1,Terpsiphone viridis,African Paradise-Flycatcher
afpwag1,Motacilla aguimp,African Pied Wagtail
afrgos1,Accipiter tachiro,African Goshawk
afrgrp1,Treron calvus,African Green-Pigeon
afrjac1,Actophilornis africanus,African Jacana
afrpip1,Anthus cinnamomeus,African Pipit
afrthr1,Turdus pelios,African Thrush
amesun2,Chalcomitra amethystina,Amethyst Sunbird
bagwea1,Ploceus baglafecht,Baglafecht Weaver
bawman1,Spermestes bicolor,Black-and-white Mannikin
beasun2,Cinnyris pulchellus,Beautiful Sunbird
bkctch1,Tchagra senegalus,Black-crowned Tchagra
blacuc1,Cuculus clamosus,Black Cuckoo
blaplo1,Vanellus armatus,Blacksmith Lapwing
blbpuf2,Dryoscopus cubla,Black-backed Puffback
blcapa2,Oreolais pulcher,Black-collared Apalis
blfbus1,Telophorus nigrifrons,Black-fronted Bushshrike
blnmou1,Urocolius macrourus,Blue-naped Mousebird
bltapa1,Apalis jacksoni,Black-throated Apalis
bltbar1,Tricholaema melanocephala,Black-throated Barbet
bltori1,Oriolus percivali,Black-tailed Oriole
blwlap1,Vanellus melanopterus,Black-winged Lapwing
brcsta1,Onychognathus salvadorii,Bristle-crowned Starling
brctch1,Tchagra australis,Brown-crowned Tchagra
brican1,Crithagra sulphurata,Brimstone Canary
brobab1,Turdoides plebejus,Brown Babbler
brosun1,Nectarinia kilimensis,Bronze Sunbird
brrwhe3,Zosterops kikuyuensis,Kikuyu White-eye
brtcha1,Oenanthe scotocerca,Brown-tailed Chat
brubru1,Nilaus afer,Brubru
brwwar1,Phylloscopus umbrovirens,Brown Woodland-Warbler
carcha1,Cossypha caffra,Cape Robin-Chat
carwoo1,Chloropicus fuscescens,Cardinal Woodpecker
ccbeat1,Merops oreobates,Cinnamon-chested Bee-eater
chespa1,Passer eminibey,Chestnut Sparrow
chewea1,Ploceus rubiginosus,Chestnut Weaver
chibat1,Batis molitor,Chinspot Batis
chtapa3,Apalis porphyrolaema,Chestnut-throated Apalis
cibwar1,Bradypterus cinnamomeus,Cinnamon Bracken-Warbler
colsun2,Hedydipna collaris,Collared Sunbird
combul2,Pycnonotus barbatus,Common Bulbul
combuz1,Buteo buteo,Common Buzzard
comsan,Actitis hypoleucos,Common Sandpiper
crefra2,Ortygornis sephaena,Crested Francolin
crohor1,Lophoceros alboterminatus,Crowned Hornbill
darbar1,Trachyphonus darnaudii,D'Arnaud's Barbet
didcuc1,Chrysococcyx caprius,Dideric Cuckoo
eaywag1,Motacilla flava,Western Yellow Wagtail
edcsun3,Cinnyris mediocris,Eastern Double-collared Sunbird
egygoo,Alopochen aegyptiaca,Egyptian Goose
eswdov1,Turtur chalcospilos,Emerald-spotted Wood-Dove
fislov1,Agapornis fischeri,Fischer's Lovebird
fotdro5,Dicrurus adsimilis,Fork-tailed Drongo
gabgos2,Micronisus gabar,Gabar Goshawk
gargan,Spatula querquedula,Garganey
gnbcam2,Camaroptera brevicaudata,Gray-backed Camaroptera
gobsta5,Lamprotornis regius,Golden-breasted Starling
grccra1,Balearica regulorum,Gray Crowned-Crane
grewoo2,Phoeniculus purpureus,Green Woodhoopoe
grwpyt1,Pytilia melba,Green-winged Pytilia
gryapa1,Apalis cinerea,Gray Apalis
grywrw1,Calamonastes simplex,Gray Wren-Warbler
gyhbus1,Malaconotus blanchoti,Gray-headed Bushshrike
gyhkin1,Halcyon leucocephala,Gray-headed Kingfisher
gytbar1,Gymnobucco bonapartei,Gray-throated Barbet
hadibi1,Bostrychia hagedash,Hadada Ibis
hamerk1,Scopus umbretta,Hamerkop
hartur1,Tauraco hartlaubi,Hartlaub's Turaco
helgui,Numida meleagris,Helmeted Guineafowl
hipbab1,Turdoides hindei,Hinde's Pied-Babbler
huncis1,Cisticola hunteri,Hunter's Cisticola
hunsun2,Chalcomitra hunteri,Hunter's Sunbird
kerspa2,Passer rufocinctus,Kenya Rufous Sparrow
klacuc1,Chrysococcyx klaas,Klaas's Cuckoo
kvbsun1,Anthreptes orientalis,Eastern Violet-backed Sunbird
laudov1,Streptopelia senegalensis,Laughing Dove
lawgol,Spinus lawrencei,Lawrence's Goldfinch
lesmaw1,Ploceus intermedius,Lesser Masked-Weaver
libeat1,Merops pusillus,Little Bee-eater
litswi1,Apus affinis,Little Swift
litwea1,Ploceus luteolus,Little Weaver
loceag1,Lophaetus occipitalis,Long-crested Eagle
lotlap1,Vanellus crassirostris,Long-toed Lapwing
marsun2,Cinnyris mariquensis,Mariqua Sunbird
mcptit1,Anthoscopus musculus,Mouse-colored Penduline-Tit
meypar1,Poicephalus meyeri,Meyer's Parrot
moccha1,Thamnolaea cinnamomeiventris,Mocking Cliff-Chat
mouwag1,Motacilla clara,Mountain Wagtail
ndcsun2,Cinnyris reichenowi,Northern Double-collared Sunbird
norbro1,Phyllastrephus strepitans,Northern Brownbul
norcro1,Sylvietta brachyura,Northern Crombec
norpuf1,Dryoscopus gambensis,Northern Puffback
nubwoo1,Campethera nubica,Nubian Woodpecker
pabspa1,Passer gongonensis,Parrot-billed Sparrow
palpri1,Prinia somalica,Pale Prinia
piecro1,Corvus albus,Pied Crow
purgre2,Granatina ianthinogaster,Purple Grenadier
pygbat1,Batis perkeo,Pygmy Batis
quailf1,Ortygospiza atricollis,Quailfinch
ratcis1,Cisticola chiniana,Rattling Cisticola
raybar1,Trachyphonus erythrocephalus,Red-and-yellow Barbet
rbsrob1,Cercotrichas leucophrys,Red-backed Scrub-Robin
rebfir2,Lagonosticta senegala,Red-billed Firefinch
reboxp1,Buphagus erythrorynchus,Red-billed Oxpecker
reccor,Uraeginthus bengalus,Red-cheeked Cordonbleu
reccuc1,Cuculus solitarius,Red-chested Cuckoo
reedov1,Streptopelia semitorquata,Red-eyed Dove
refbar2,Tricholaema diademata,Red-fronted Barbet
refcro1,Sylvietta whytii,Red-faced Crombec
reftin1,Pogoniulus pusillus,Red-fronted Tinkerbird
refwar2,Prinia rufifrons,Red-fronted Prinia
rehwea1,Anaplectes rubriceps,Red-headed Weaver
reisee2,Crithagra reichenowi,Reichenow's Seedeater
rerswa1,Cecropis daurica,Red-rumped Swallow
rindov,Streptopelia capicola,Ring-necked Dove
ruegls1,Lamprotornis purpuroptera,Rüppell's Starling
rufcha2,Argya rubiginosa,Rufous Chatterer
sccsun2,Chalcomitra senegalensis,Scarlet-chested Sunbird
scthon1,Indicator variegatus,Scaly-throated Honeyguide
shesta1,Lamprotornis shelleyi,Shelley's Starling
sichor1,Bycanistes brevis,Silvery-cheeked Hornbill
sincis1,Cisticola cantans,Singing Cisticola
slcbou1,Laniarius funebris,Slate-colored Boubou
sltnig1,Caprimulgus clarus,Slender-tailed Nightjar
sobfly1,Melaenornis pammelaina,Southern Black-Flycatcher
somgre1,Andropadus importunus,Sombre Greenbul
somtit4,Melaniparus thruppi,Somali Tit
soufis1,Lanius collaris,Southern Fiscal
spemou2,Colius striatus,Speckled Mousebird
spewea1,Ploceus ocularis,Spectacled Weaver
spfbar1,Tricholaema lacrymosa,Spot-flanked Barbet
spfwea1,Sporopipes frontalis,Speckle-fronted Weaver
spmthr1,Cichladusa guttata,Spotted Morning-Thrush
subbus1,Telophorus sulfureopectus,Sulphur-breasted Bushshrike
supsta1,Lamprotornis superbus,Superb Starling
tacsun1,Nectarinia tacazze,Tacazze Sunbird
tafpri1,Prinia subflava,Tawny-flanked Prinia
tamdov1,Turtur tympanistria,Tambourine Dove
thrnig1,Luscinia luscinia,Thrush Nightingale
trobou1,Laniarius major,Tropical Boubou
varsun2,Cinnyris venustus,Variable Sunbird
vibsta2,Cinnyricinclus leucogaster,Violet-backed Starling
vilwea1,Ploceus cucullatus,Village Weaver
vimwea1,Ploceus vitellinus,Vitelline Masked-Weaver
walsta1,Onychognathus walleri,Waller's Starling
wbgbir1,Corythaixoides leucogaster,White-bellied Go-away-bird
wbrcha2,Cossypha heuglini,White-browed Robin-Chat
wbswea1,Plocepasser mahali,White-browed Sparrow-Weaver
wfbeat1,Merops bullockoides,White-fronted Bee-eater
whbcan1,Crithagra dorsostriata,White-bellied Canary
whbcou1,Centropus superciliosus,White-browed Coucal
whbcro2,Sylvietta leucophrys,White-browed Crombec
whbtit5,Melaniparus albiventris,White-bellied Tit
whbwea1,Dinemellia dinemelli,White-headed Buffalo-Weaver
whbwhe3,Zosterops flavilateralis,Pale White-eye
whctur2,Tauraco leucolophus,White-crested Turaco
wheslf1,Melaenornis fischeri,White-eyed Slaty-Flycatcher
whhwoo1,Phoeniculus bollei,White-headed Woodhoopoe
whihel1,Prionops plumatus,White Helmetshrike
whrshr1,Eurocephalus ruppelli,White-rumped Shrike
woosan,Tringa glareola,Wood Sandpiper
yebapa1,Apalis flavida,Yellow-breasted Apalis
yebere1,Eremomela icteropygialis,Yellow-bellied Eremomela
yebgre1,Chlorocichla flaviventris,Yellow-bellied Greenbul
yeccan1,Serinus flavivertex,Yellow-crowned Canary
yelbis1,Euplectes capensis,Yellow Bishop
yenspu1,Pternistis leucoscepus,Yellow-necked Francolin
yertin1,Pogoniulus bilineatus,Yellow-rumped Tinkerbird
yespet1,Gymnoris pyrgita,Yellow-spotted Bush Sparrow
yewgre1,Eurillas latirostris,Yellow-whiskered Greenbul
