observed_on,latitude,longitude,scientific_name,common_name,iconic_taxon_name
2025-08-01,12.9613933563,77.7070846558,Vanellus indicus,Red-wattled Lapwing,Aves
2025-08-01,12.9611883163,77.7071533203,Egretta garzetta,Little Egret,Aves
2025-08-01,13.0678166667,77.5787111111,Funambulus palmarum,Three-striped Palm Squirrel,Mammalia
2025-08-01,13.0755020997,77.5851281997,Oligodon taeniolatus,Streaked Kukri Snake,Reptilia
2025-08-01,12.955665,77.6046683333,Orthotomus sutorius,Common Tailorbird,Aves
2025-08-01,13.83113258,75.7647929,Melanochelys trijuga,Indian Black Turtle,Reptilia
2025-08-01,12.8608396,77.5991544,Lonchura punctulata,Scaly-breasted Munia,Aves
2025-08-01,12.9683732986,77.715423584,Gekkonidae,Typical Geckos,Reptilia
2025-08-01,13.0392292796,77.6370649676,Lonchura punctulata,Scaly-breasted Munia,Aves
2025-08-01,13.0684749722,77.57831,Hemidactylus brookii,Brook's House Gecko,Reptilia
2025-08-01,13.0757779722,77.5714349722,Duttaphrynus melanostictus,Asian Common Toad,Amphibia
2025-08-01,13.0159377,77.5648797,Aves,Birds,Aves
2025-08-01,12.9221780418,77.6657277346,Motacilla maderaspatensis,White-browed Wagtail,Aves
2025-08-02,14.4642731306,75.4853501916,Ortygornis pondicerianus,Grey Francolin,Aves
2025-08-02,12.8035173416,77.5623855591,Eutropis carinata,Keeled Indian Mabuya,Reptilia
2025-08-02,13.3720783333,77.68353,Uropeltis,,Reptilia
2025-08-01,12.8571865,77.508911,Lonchura punctulata,Scaly-breasted Munia,Aves
2025-08-01,12.8571865,77.508911,Plegadis falcinellus,Glossy Ibis,Aves
2025-08-01,12.8571865,77.508911,Streptopelia decaocto,Eurasian Collared-Dove,Aves
2025-08-01,12.8571865,77.508911,Dinopium benghalense,Black-rumped Flameback,Aves
2025-08-01,12.8571865,77.508911,Ploceus philippinus,Baya Weaver,Aves
2025-08-01,12.8571865,77.508911,Pericrocotus cinnamomeus,Small Minivet,Aves
2025-08-01,12.8571865,77.508911,Chrysomma sinense,Yellow-eyed Babbler,Aves
2025-08-01,12.8571865,77.508911,Argya affinis,Yellow-billed Babbler,Aves
2025-08-01,12.8571865,77.508911,Pericrocotus cinnamomeus,Small Minivet,Aves
2025-08-01,12.8571865,77.508911,Ploceus philippinus,Baya Weaver,Aves
2025-08-01,12.8571865,77.508911,Pycnonotus luteolus,White-browed Bulbul,Aves
2025-08-01,12.8571865,77.508911,Prinia hodgsonii,Gray-breasted Prinia,Aves
2025-08-01,12.8571865,77.508911,Plocealauda affinis,Jerdon's Bushlark,Aves
2025-08-01,12.8571865,77.508911,Pericrocotus cinnamomeus,Small Minivet,Aves
2025-08-01,12.8571865,77.508911,Laurasiatheria,"Ungulates, Carnivorans, and Allies",Mammalia
2025-08-01,12.8571865,77.508911,Aves,Birds,Aves
2025-08-01,12.8571865,77.508911,Lepus nigricollis,Indian Hare,Mammalia
2025-08-01,12.8571865,77.508911,Artiodactyla,Even-toed Ungulates and Cetaceans,Mammalia
2025-08-01,12.8571865,77.508911,Psittacula krameri,Rose-ringed Parakeet,Aves
2025-08-01,12.8571865,77.508911,Pavo cristatus,Indian Peafowl,Aves
2025-08-02,12.858544,77.5095551997,Pavo cristatus,Indian Peafowl,Aves
2025-08-02,12.88512,77.5549083333,Cyornis tickelliae,Tickell's Blue Flycatcher,Aves
2025-08-02,13.1249687997,77.5487976997,Eutropis macularia,Bronze Grass Skink,Reptilia
2025-08-02,13.0329055556,77.5768,Hemidactylus leschenaultii,Bark Gecko,Reptilia
2025-08-02,12.3163825013,76.6212970642,Ardeola grayii,Indian Pond-Heron,Aves
2025-08-02,13.0446185037,77.5012747943,Columbidae,Pigeons and Doves,Aves
2025-08-02,12.4310966667,75.7628866667,Coelognathus helena monticollaris,Montane Trinket Snake,Reptilia
2025-08-01,12.9692308,77.5380286,Hemidactylus,House Geckos,Reptilia
2025-08-02,12.9035760845,77.6672133431,Anhinga melanogaster,Oriental Darter,Aves
2025-08-02,12.9035760845,77.6672133431,Anas poecilorhyncha,Indian Spot-billed Duck,Aves
2025-08-02,13.0800718,77.5785151,Merops orientalis,Asian Green Bee-eater,Aves
2025-08-02,13.033,77.5768972222,Hemidactylus flaviviridis,Northern House Gecko,Reptilia
2025-08-02,13.0329944444,77.5768972222,Hemidactylus parvimaculatus,Spotted House Gecko,Reptilia
2025-08-02,13.2518885082,77.9557187855,Psammophilus,Rock Agamas,Reptilia
2025-08-02,13.2516659385,77.9567852989,Pycnonotus jocosus,Red-whiskered Bulbul,Aves
2025-08-02,13.2518885082,77.9557187855,Saxicola caprata,Pied Bushchat,Aves
2025-08-02,13.2518885082,77.9557187855,Saxicola caprata,Pied Bushchat,Aves
2025-08-02,13.2518885082,77.9557187855,Athene brama,Spotted Owlet,Aves
2025-08-02,12.8055629722,77.5629339722,Sphaerotheca,Burrowing Frogs,Amphibia
2025-08-02,12.8052849722,77.56551,Anura,Frogs and Toads,Amphibia
2025-08-02,13.0773484,77.5778085,Merops orientalis,Asian Green Bee-eater,Aves
2025-08-02,13.0776240414,77.5778228046,Milvus migrans,Black Kite,Aves
2025-08-02,13.0774150298,77.5779730083,Pycnonotus jocosus,Red-whiskered Bulbul,Aves
2025-08-02,13.0773314251,77.5778442622,Acridotheres tristis,Common Myna,Aves
2025-08-02,12.9501647,77.7409162,Pycnonotus jocosus,Red-whiskered Bulbul,Aves
2025-08-02,12.9501647,77.7409162,Nycticorax nycticorax,Black-crowned Night Heron,Aves
2025-08-02,12.9501647,77.7409162,Phoenicopterus roseus,Greater Flamingo,Aves
2025-08-02,12.9501647,77.7409162,Vanellus indicus,Red-wattled Lapwing,Aves
2025-08-02,12.9501647,77.7409162,Hydrophasianus chirurgus,Pheasant-tailed Jacana,Aves
2025-08-02,12.9501647,77.7409162,Ardea purpurea,Purple Heron,Aves
2025-08-01,12.9130807872,77.6632279547,Psittacula krameri,Rose-ringed Parakeet,Aves
2025-08-02,13.1281878072,74.9974035099,Fowlea piscator,Chequered Keelback,Reptilia
2025-08-02,12.9084490932,77.4923678488,Aves,Birds,Aves
2025-08-01,12.957705,77.596028,Milvus migrans,Black Kite,Aves
2025-08-03,13.0166714751,77.5654073082,Funambulus palmarum,Three-striped Palm Squirrel,Mammalia
2025-08-03,13.0167255957,77.5651048104,Corvus macrorhynchos,Large-billed Crow,Aves
2025-08-03,13.0168434346,77.5663125396,Acridotheres tristis,Common Myna,Aves
2025-08-03,12.3534193739,76.4475291387,Eryx conicus,Rough-scaled Sand Boa,Reptilia
2025-08-03,12.9244276208,75.8636695147,Calliophis nigrescens,Black Coralsnake,Reptilia
2025-08-02,12.8696257997,77.6145065997,Pycnonotus jocosus,Red-whiskered Bulbul,Aves
2025-08-03,12.8711251997,77.606998,Motacilla maderaspatensis,White-browed Wagtail,Aves
2025-08-03,12.8710991997,77.6070335,Himantopus himantopus,Black-winged Stilt,Aves
2025-08-03,12.8699849,77.6067101,Halcyon smyrnensis,White-throated Kingfisher,Aves
2025-08-03,12.89739,77.5908416667,Ocyceros,Asian Grey Hornbills,Aves
2025-08-03,13.0330194444,77.5768972222,Dicaeum erythrorhynchos,Pale-billed Flowerpecker,Aves
2025-08-03,12.15238463,77.1210823,Dicrurus macrocercus,Black Drongo,Aves
2025-08-03,12.971744357,77.6868851354,Phrynoderma hexadactylum,Indian Five-fingered Frog,Amphibia
2025-08-02,12.8935375,77.5028281,Cinnyris lotenius,Loten's Sunbird,Aves
2025-08-02,12.8935375,77.5028281,Pernis ptilorhynchus,Oriental Honey-buzzard,Aves
2025-08-02,12.8935375,77.5028281,Ardea cinerea,Grey Heron,Aves
2025-08-02,12.8935375,77.5028281,Cacomantis passerinus,Grey-bellied Cuckoo,Aves
2025-08-02,12.8935375,77.5028281,Psilopogon viridis,White-cheeked Barbet,Aves
2025-08-02,12.8935375,77.5028281,Spilopelia chinensis,Spotted Dove,Aves
2025-08-02,12.8935375,77.5028281,Artamus fuscus,Ashy Woodswallow,Aves
2025-08-02,12.8935375,77.5028281,Milvus migrans,Black Kite,Aves
2025-08-02,12.8935375,77.5028281,Merops orientalis,Asian Green Bee-eater,Aves
2025-08-02,12.8935375,77.5028281,Hirundo smithii,Wire-tailed Swallow,Aves
2025-08-02,12.8935375,77.5028281,Cervidae,Deer,Mammalia
2025-08-03,13.03295,77.5768027778,Hemidactylus leschenaultii,Bark Gecko,Reptilia
2025-08-03,12.892998347,77.5927998245,Corvus macrorhynchos,Large-billed Crow,Aves
2025-08-03,12.1727079912,76.7170357329,Canis aureus naria,Sri Lankan Jackal,Mammalia
2025-08-03,12.1727079912,76.7170357329,Anthus rufulus,Paddyfield Pipit,Aves
2025-08-03,12.1727079912,76.7170357329,Galerida deva,Tawny Lark,Aves
2025-08-03,13.1281878072,74.9974035099,Amphiesma stolatum,Buff Striped Keelback,Reptilia
2025-08-03,12.9477875343,77.7379669994,Phoenicopterus roseus,Greater Flamingo,Aves
2025-08-03,12.9975252906,77.6171001732,Milvus migrans,Black Kite,Aves
2025-08-02,12.5898102,77.3760995,Euphlyctis cyanophlyctis,Common skittering frog,Amphibia
2025-08-03,12.291645,77.4165116667,Tachyspiza badia,Shikra,Aves
2025-08-02,12.3477347006,77.2618143507,Ratufa macroura dandolena,,Mammalia
2025-08-02,12.2197132202,77.2814302025,Crocodylus palustris,Mugger Crocodile,Reptilia
2025-08-02,12.5716616667,77.4148783333,Cecropis daurica,Eastern Red-rumped Swallow,Aves
2025-08-03,12.9752343,77.6886853,Phrynoderma hexadactylum,Indian Five-fingered Frog,Amphibia
2025-08-03,13.3475315,77.9924728,Euphlyctis,Skittering Frogs,Amphibia
2025-08-03,12.820354,77.548415,Microhyla ornata,Ornate Narrow-mouthed Toad,Amphibia
2025-08-03,13.0936416667,77.57837,Acridotheres fuscus,Jungle Myna,Aves
2025-08-01,13.8834867359,74.9294400215,Dicroglossinae,,Amphibia
2025-08-03,14.6088282589,75.6462984534,Hemidactylus,House Geckos,Reptilia
2025-08-03,12.8201809722,77.547218,Hemidactylus whitakeri,Whitaker’s Termite Hill Gecko,Reptilia
2025-08-02,13.8572394185,74.8673669994,Hoplobatrachus tigerinus,Indus Valley Bullfrog,Amphibia
2025-08-02,13.8572394185,74.8673669994,Indirana,Indian frogs,Amphibia
2025-08-04,13.020319,77.5642529722,Duttaphrynus melanostictus,Asian Common Toad,Amphibia
2025-08-03,13.3475315,77.9924728,Psammophilus,Rock Agamas,Reptilia
2025-08-03,13.3475315,77.9924728,Psammophilus,Rock Agamas,Reptilia
2025-08-02,13.3568435,77.8517372,Pavo cristatus,Indian Peafowl,Aves
2025-08-02,13.4134941064,77.9075759557,Columba livia domestica,Feral Pigeon,Aves
2025-08-02,13.4134427,77.9074609,Columba livia,Rock Pigeon,Aves
2025-08-04,12.15241501,77.1210535,Hirundo rustica,Barn Swallow,Aves
2025-08-03,12.9508669781,77.7378097549,Haliastur indus,Brahminy Kite,Aves
2025-08-03,12.9508669781,77.7378097549,Mycteria leucocephala,Painted Stork,Aves
2025-08-03,12.9508669781,77.7378097549,Amandava amandava,Red Avadavat,Aves
2025-08-03,12.9508669781,77.7378097549,Clamator jacobinus,Pied Cuckoo,Aves
2025-08-03,12.9508669781,77.7378097549,Mycteria leucocephala,Painted Stork,Aves
2025-08-03,12.9508669781,77.7378097549,Ardea cinerea,Grey Heron,Aves
2025-08-03,12.9508669781,77.7378097549,Himantopus himantopus,Black-winged Stilt,Aves
2025-08-03,12.9508669781,77.7378097549,Tachybaptus ruficollis,Little Grebe,Aves
2025-08-03,12.9508669781,77.7378097549,Phoenicopterus roseus,Greater Flamingo,Aves
2025-08-03,12.9508669781,77.7378097549,Mycteria leucocephala,Painted Stork,Aves
2025-08-03,12.9508669781,77.7378097549,Plegadis falcinellus,Glossy Ibis,Aves
2025-08-03,12.9508669781,77.7378097549,Tringa glareola,Wood Sandpiper,Aves
2025-08-03,12.9508669781,77.7378097549,Lonchura punctulata,Scaly-breasted Munia,Aves
2025-08-03,12.9508669781,77.7378097549,Metopidius indicus,Bronze-winged Jacana,Aves
2025-08-03,12.9508669781,77.7378097549,Hydrophasianus chirurgus,Pheasant-tailed Jacana,Aves
2025-08-03,12.9508669781,77.7378097549,Anas poecilorhyncha,Indian Spot-billed Duck,Aves
2025-08-03,12.9508669781,77.7378097549,Ceryle rudis,Pied Kingfisher,Aves
2025-08-03,12.9508669781,77.7378097549,Lonchura punctulata,Scaly-breasted Munia,Aves
2025-08-03,12.9508669781,77.7378097549,Metopidius indicus,Bronze-winged Jacana,Aves
2025-08-03,12.8683514369,77.7227992212,Pelecanus philippensis,Spot-billed Pelican,Aves
2025-08-03,12.9508669781,77.7378097549,Anhinga melanogaster,Oriental Darter,Aves
2025-08-03,12.9508669781,77.7378097549,Haliastur indus,Brahminy Kite,Aves
2025-08-03,12.9508669781,77.7378097549,Fulica atra,Eurasian Coot,Aves
2025-08-03,12.9508669781,77.7378097549,Passer domesticus,House Sparrow,Aves
2025-08-03,12.9508669781,77.7378097549,Ardea intermedia,Medium Egret,Aves
2025-08-03,12.9508669781,77.7378097549,Psittacula krameri,Rose-ringed Parakeet,Aves
2025-08-03,12.9508669781,77.7378097549,Acridotheres fuscus,Jungle Myna,Aves
2025-08-04,12.316088,76.599513,Lanius schach,Long-tailed Shrike,Aves
2025-08-04,12.3169959722,76.597654,Bubalus bubalis,Domestic Water Buffalo,Mammalia
2025-08-04,12.9960626907,77.6004732773,Polypedates,whipping frogs,Amphibia
